,Velocidad (km/h),Método,Distancia (m),Tiempo (min)
0,24,Nearest Neighbor,38616.40022789591,96.54100056973977
1,24,Fixed Order,38616.40022789591,96.54100056973977
2,30,Nearest Neighbor,38616.40022789591,77.23280045579182
3,30,Fixed Order,38616.40022789591,77.23280045579182
4,36,Nearest Neighbor,38616.40022789591,64.36066704649319
5,36,Fixed Order,38616.40022789591,64.36066704649319
